Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3yphjYSP0G3gvCPQnuEDXu,こちら、幸福安心委員会です。,こちら、幸福安心委員会です。,UtataP,6/7/2012,271690,47,FALSE,thesoundsofspotify,2017-02-12T00:06:14Z,vocaloid,KarenT,0.603,0.882,9,-5.428,1,0.0449,0.0259,0.00531,0.0266,0.34,127.979,4
spotify:track:0V7RxFamMkLN6tXR7S2t1W,ツギハギスタッカート,ツギハギスタッカート,Toa,22/8/2014,250359,52,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,KARENT,0.898,0.777,7,-7.245,1,0.0566,0.555,0,0.312,0.934,138.987,4
spotify:track:7oa18QwhLsV3JfITGDxslD,Love Trial,41m,40mP,17/8/2014,219781,0,FALSE,thesoundsofspotify,2017-02-12T00:06:14Z,vocaloid,40mP,0.71,0.851,1,-2.633,0,0.0382,0.0318,0,0.342,0.895,134.004,4
spotify:track:0UUV97Kf5nowsUWIxVs4bO,天ノ弱,天ノ弱 (feat. Mayumi Morinaga),164,1/2/2012,186500,51,FALSE,thesoundsofspotify,2017-12-05T02:03:34Z,vocaloid,エグジットチューンズ,0.456,0.964,9,-2.582,1,0.0887,0.0305,0,0.306,0.574,100.766,4
spotify:track:5WCK18MbTKuOcmLsOXMaHd,ロキ,DAISAN WAVE,Mikito P,18/11/2018,230400,56,FALSE,thesoundsofspotify,2019-01-18T14:54:21Z,vocaloid,U&R records,0.545,0.985,11,-3.106,0,0.1,0.000843,0.0000138,0.323,0.703,149.983,4
spotify:track:6FcvYpbnbVqXKRd3Kl9AvC,わたしのアール,わたしの未成年観測,WADATAKEAKI KurageP,14/3/2018,215120,47,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,Subcul-rise Record,0.635,0.691,9,-3.445,1,0.0363,0.0289,0.00193,0.106,0.828,105.028,4
spotify:track:0xly7rh0DZqVxI8Jmn7sid,MACHINEGUN POEM DOLL,MACHINEGUN POEM DOLL,cosMo@Bousou-P,5/10/2021,140527,50,FALSE,thesoundsofspotify,2023-12-15T19:23:30Z,vocaloid,CHEMICAL SYSTEM,0.631,0.838,5,-7.607,0,0.0607,0.0101,0.0000249,0.132,0.838,109.943,4
spotify:track:5XJh3VbvvnGYrkubcQwzys,Gimme×Gimme feat. 初音ミク・鏡音リン,GRAPHIX,Hachioji P;Giga;Hatsune Miku;Kagamine Rin,28/8/2019,220930,53,FALSE,thesoundsofspotify,2019-09-06T15:28:11Z,vocaloid,TOY'S FACTORY,0.708,0.846,1,-5.443,1,0.244,0.0251,0.0104,0.0343,0.835,105.058,4
spotify:track:0ASw64KfzSUtChQDfzC906,脳漿炸裂ガール 2015ver.,厨病激発ボーイ,rerulili,16/12/2015,192440,55,FALSE,thesoundsofspotify,2020-12-11T20:27:37Z,vocaloid,MusicRay'n Inc.,0.427,0.966,8,-3.091,1,0.134,0.0404,0,0.348,0.675,154.961,4
spotify:track:0jvXeqogQ9cXDUyuLKU405,ロストワンの号哭,世界征服,Neru,2013,217777,49,FALSE,thesoundsofspotify,2020-12-25T11:36:27Z,vocaloid,エグジットチューンズ,0.414,0.903,7,-1.466,1,0.181,0.0783,0,0.34,0.813,161.98,4
spotify:track:1SmScVuUaKjdy1mFCaCxzy,てらてら - VOCALOID ver,_Haikyo_[A.],WADATAKEAKI,24/5/2023,194911,41,FALSE,thesoundsofspotify,2023-05-27T01:05:17Z,vocaloid,Project.9,0.581,0.809,6,-6.468,0,0.176,0.00317,0,0.478,0.956,94.971,4
spotify:track:3jmQnsr4YxDIrCJ7GbE7vM,トンデモワンダーズ,トンデモワンダーズ,sasakure.UK,21/6/2021,195822,49,FALSE,thesoundsofspotify,2021-07-02T15:51:35Z,vocaloid,sasakuration,0.678,0.913,0,-4.203,1,0.0562,0.181,0,0.303,0.96,172.035,4
spotify:track:0Gc8R0bC03tMW1RO5d0X7u,ジターバグ,ジターバグ,Nanashi Hachiya,1/11/2019,210000,38,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,KARENT,0.532,0.801,0,-11.646,0,0.128,0.0523,0,0.327,0.736,131.943,4
spotify:track:0kiDN35Ern4Mi3rqv3dP6D,ロミオとシンデレラ,ロミオとシンデレラ,doriko,7/10/2022,280959,54,FALSE,thesoundsofspotify,2022-12-16T16:16:06Z,vocaloid,U&R records,0.454,0.954,1,-3.856,1,0.0523,0.013,0.00518,0.232,0.741,170.153,4
spotify:track:3eIGW5DUVP5zkGFXZSZQ6o,ロウワー,ロウワー,ぬゆり,9/11/2021,230000,53,FALSE,thesoundsofspotify,2021-11-19T13:01:29Z,vocaloid,niseinu records,0.62,0.944,10,-3.361,0,0.134,0.0355,0.0000895,0.206,0.801,132.05,4
spotify:track:5oUBjW4Bc69fcYBak14CyO,on the rocks,Attractive Museum,OSTER project,23/4/2014,265613,42,FALSE,thesoundsofspotify,2021-01-08T10:46:56Z,"vocaloid,shibuya-kei",Subcul-rise Record,0.597,0.851,10,-3.404,0,0.0359,0.0956,0,0.213,0.779,150.008,4
spotify:track:3Su7tjUw5QbSBD5S3QFrWP,Samsa,Samsa,Teniwoha,7/4/2023,212479,48,FALSE,thesoundsofspotify,2023-04-14T21:34:00Z,vocaloid,teniwoha,0.774,0.832,5,-6.178,1,0.0596,0.261,0,0.187,0.831,121.073,4
spotify:track:3CNptmi6HPZj6lgglUafW7,ローリンガール,EXIT TUNES PRESENTS Supernova(スーパーノヴァ)2 ジャケットイラスト:redjuice,wowaka,3/3/2010,194000,47,FALSE,thesoundsofspotify,2021-02-12T11:02:05Z,vocaloid,エグジットチューンズ,0.498,0.848,0,-3.091,0,0.038,0.00466,0,0.0753,0.319,97.516,4
spotify:track:0afSduWztLk9ko6grenzWE,Chikyuu Saigo No Kokuhaku Wo,Exit Tunes Presents Guming From Megpoid,Kemu,1/8/2015,265200,28,FALSE,thesoundsofspotify,2020-07-28T22:28:36Z,vocaloid,EXIT TUNES,0.52,0.965,5,-1.939,1,0.0914,0.0117,0,0.185,0.283,95.026,4
spotify:track:0MhQa3QKc26ECpVzhaJCfQ,METEOR,ミライコレクション,DIVELA,12/9/2019,274529,36,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,KARENT,0.521,0.954,0,-2.157,1,0.18,0.0299,0.000279,0.161,0.417,170.075,4
spotify:track:2ritsV4U3jq2LduJpovZ1A,だれかの心臓になれたなら,Kardia,Yurry Canon,19/12/2018,231724,54,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,U&R records,0.526,0.927,8,-2.976,0,0.269,0.135,0,0.356,0.537,144.84,4
spotify:track:3Yr59l2zDDpMmD84Qy4uE6,Shinkaisyoujo -deep sea girl-,Versulanoshinzou,Yuuyu,28/2/2024,221843,39,FALSE,thesoundsofspotify,2024-03-01T21:08:32Z,vocaloid,Yuuyu,0.66,0.756,11,-5.894,0,0.032,0.0443,0.0000226,0.25,0.794,135.074,4
spotify:track:705CVl7WvtnJgVpGIgZ6dQ,炉心融解,炉心融解,iroha(sasaki),2008,329038,58,FALSE,thesoundsofspotify,2017-02-12T00:06:14Z,vocaloid,KarenT,0.555,0.976,2,-0.171,1,0.151,0.0298,0.00192,0.205,0.379,164.967,4
spotify:track:1d29gcKxV4Mgg5If0XA633,紗痲,NOMAN,煮ル果実,28/4/2019,205733,47,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,U&R records,0.604,0.842,7,-3.793,0,0.132,0.00264,0.00101,0.281,0.796,159.967,4
spotify:track:0avbIGWVb4n7CcbomSEogt,Teo,The First Waltz,Omoi,29/12/2017,210000,46,FALSE,thesoundsofspotify,2018-09-04T18:45:56Z,vocaloid,Omoi,0.343,0.972,9,-1.909,1,0.178,0.000091,0.00686,0.294,0.249,185.14,4
spotify:track:5bHTVRI8Xg5mZda2XtZfKi,ダンスロボットダンス (アレンジメドレー (キメラver) はるまきごはん×煮ル果実×和田たけあき×栗山夕璃（蜂屋ななし）×じん×かいりきベア×てにをは×Chinozo×ピノキオピー×稲葉曇×一二三×Aqu3ra×Neru×ナユタン星人),キメラ,Harumakigohan;煮ル果実;WADATAKEAKI;栗山夕璃;Jin;Kairikibear;Teniwoha;Chinozo;PinocchioP;INABAKUMORI;一二三;Aqu3ra;Neru;Nayutalien,16/10/2021,182013,39,FALSE,thesoundsofspotify,2021-11-19T13:01:29Z,"vocaloid,j-pop,anime",CHIMERA Records,0.541,0.888,7,-4.394,1,0.07,0.00069,0.00448,0.06,0.566,94.97,4
spotify:track:5MyB548UcM38O2emb7HPDj,帝国少女,帝国少女,R Sound Design,28/6/2017,254237,52,FALSE,thesoundsofspotify,2019-03-06T20:03:16Z,vocaloid,KARENT,0.603,0.87,4,-2.248,1,0.0367,0.0739,0.00000328,0.0562,0.684,117.994,4
spotify:track:4WfgfyCeXhyitWzm1dUzWZ,二次元ドリームフィーバー,二次元ドリームフィーバー,PolyphonicBranch,18/2/2015,188253,39,FALSE,thesoundsofspotify,2017-02-12T00:06:14Z,vocaloid,KARENT,0.393,0.957,11,-1.117,0,0.0761,0.0221,0.0101,0.146,0.913,179.913,4
spotify:track:3mH5bQJk2zCuV2aH0V6TPC,夜もすがら君想ふ,ぼくの魔法使い,TOKOTOKO,14/8/2014,240810,46,FALSE,thesoundsofspotify,2019-01-25T17:06:42Z,vocaloid,U&R records,0.582,0.953,3,-2.659,1,0.051,0.0259,0,0.169,0.641,148.084,4
